site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_kwh,deviation_pct,year,month,quarter,month_sin,month_cos,is_summer,is_winter,is_spring,is_autumn,lag_1m,lag_3m,lag_6m,lag_12m,roll_avg_3m,expected_roll_3m,roll_avg_6m,expected_roll_6m,roll_avg_12m,expected_roll_12m,yoy_growth,is_anomaly,has_actual,total_historical_alerts,critical_alerts,medium_alerts,low_alerts,open_alerts,max_impact,avg_impact,inverter_fault_count,string_fault_count,communication_fault_count,grid_fault_count,optimizer_fault_count,module_fault_count,freezing_count,dc_isolation_count,has_critical_alert,alert_types_list
Site_003,2022-01-01,0.0,8037.0,0.0,-8037.0,-100.0,2022,1,1,0.4999999999999999,0.8660254037844387,0,1,0,0,,,,,,,,,,,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-02-01,0.0,9286.0,0.0,-9286.0,-100.0,2022,2,1,0.8660254037844386,0.5000000000000001,0,1,0,0,0.0,,,,0.0,8037.0,0.0,8037.0,0.0,8037.0,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-03-01,0.0,11902.0,0.0,-11902.0,-100.0,2022,3,1,1.0,6.123233995736766e-17,0,0,1,0,0.0,,,,0.0,8661.5,0.0,8661.5,0.0,8661.5,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-04-01,0.0,12620.0,0.0,-12620.0,-100.0,2022,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.0,0.0,,,0.0,9741.666666666666,0.0,9741.666666666666,0.0,9741.666666666666,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-05-01,0.0,13908.0,0.0,-13908.0,-100.0,2022,5,2,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.0,0.0,,,0.0,11269.333333333334,0.0,10461.25,0.0,10461.25,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-06-01,0.0,13643.0,0.0,-13643.0,-100.0,2022,6,2,1.2246467991473532e-16,-1.0,1,0,0,0,0.0,0.0,,,0.0,12810.0,0.0,11150.6,0.0,11150.6,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-07-01,0.0,14772.0,0.0,-14772.0,-100.0,2022,7,3,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0.0,0.0,0.0,,0.0,13390.333333333334,0.0,11566.0,0.0,11566.0,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-08-01,0.0,13629.0,0.0,-13629.0,-100.0,2022,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0.0,0.0,0.0,,0.0,14107.666666666666,0.0,12688.5,0.0,12024.0,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-09-01,0.0,11942.0,0.0,-11942.0,-100.0,2022,9,3,-1.0,-1.8369701987210292e-16,0,0,0,1,0.0,0.0,0.0,,0.0,14014.666666666666,0.0,13412.333333333334,0.0,12224.625,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-10-01,574.0,9339.0,0.0614626833708105,-8765.0,-93.85373166291892,2022,10,4,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.0,0.0,0.0,,0.0,13447.666666666666,0.0,13419.0,0.0,12193.222222222224,,1.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-11-01,0.0,7147.0,0.0,-7147.0,-100.0,2022,11,4,-0.5000000000000004,0.8660254037844384,0,0,0,1,574.0,0.0,0.0,,191.3333333333333,11636.666666666666,95.66666666666669,12872.166666666666,57.4,11907.8,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2022-12-01,0.0,6615.0,0.0,-6615.0,-100.0,2022,12,4,-2.4492935982947064e-16,1.0,0,1,0,0,0.0,0.0,0.0,,191.3333333333333,9476.0,95.66666666666669,11745.333333333334,52.18181818181818,11475.0,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-01-01,809.0,7997.0,0.1011629361010379,-7188.0,-89.88370638989622,2023,1,1,0.4999999999999999,0.8660254037844387,0,1,0,0,0.0,574.0,0.0,0.0,191.3333333333333,7700.333333333333,95.66666666666669,10574.0,47.833333333333336,11070.0,inf,1.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-02-01,0.0,9239.0,0.0,-9239.0,-100.0,2023,2,1,0.8660254037844386,0.5000000000000001,0,1,0,0,809.0,0.0,0.0,0.0,269.6666666666667,7253.0,230.5,9444.833333333334,115.25,11066.666666666666,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-03-01,0.0,11843.0,0.0,-11843.0,-100.0,2023,3,1,1.0,6.123233995736766e-17,0,0,1,0,0.0,0.0,0.0,0.0,269.6666666666667,7950.333333333333,230.5,8713.166666666666,115.25,11062.75,,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-04-01,1271.0,12557.0,0.101218443895835,-11286.0,-89.8781556104165,2023,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.0,809.0,574.0,0.0,269.6666666666667,9693.0,230.5,8696.666666666666,115.25,11057.833333333334,inf,1.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-05-01,19945.0,13839.0,1.4412168509285352,6106.0,44.12168509285353,2023,5,2,0.4999999999999999,-0.8660254037844387,0,0,1,0,1271.0,0.0,0.0,0.0,423.6666666666667,11213.0,346.6666666666667,9233.0,221.16666666666663,11052.583333333334,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-06-01,14871.0,13574.0,1.0955503167820837,1297.0,9.55503167820834,2023,6,2,1.2246467991473532e-16,-1.0,1,0,0,0,19945.0,0.0,0.0,0.0,7072.0,12746.333333333334,3670.8333333333335,10348.333333333334,1883.25,11046.833333333334,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-07-01,16344.0,14698.0,1.1119880255817118,1646.0,11.19880255817118,2023,7,3,-0.4999999999999997,-0.8660254037844388,1,0,0,0,14871.0,1271.0,809.0,0.0,12029.0,13323.333333333334,6149.333333333333,11508.166666666666,3122.5,11041.083333333334,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-08-01,14526.0,13561.0,1.0711599439569353,965.0,7.115994395693533,2023,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,16344.0,19945.0,0.0,0.0,17053.333333333332,14037.0,8738.5,12625.0,4484.5,11034.916666666666,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-09-01,10579.0,11883.0,0.8902634014979383,-1304.0,-10.973659850206175,2023,9,3,-1.0,-1.8369701987210292e-16,0,0,0,1,14526.0,14871.0,0.0,0.0,15247.0,13944.333333333334,11159.5,13345.333333333334,5695.0,11029.25,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-10-01,9108.0,9292.0,0.9801980198019802,-184.0,-1.98019801980198,2023,10,4,-0.8660254037844386,0.5000000000000001,0,0,0,1,10579.0,16344.0,1271.0,574.0,13816.333333333334,13380.666666666666,12922.666666666666,13352.0,6576.583333333333,11024.333333333334,14.867595818815332,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-11-01,6605.0,7111.0,0.9288426381662214,-506.0,-7.115736183377866,2023,11,4,-0.5000000000000004,0.8660254037844384,0,0,0,1,9108.0,14526.0,19945.0,0.0,11404.333333333334,11578.666666666666,14228.833333333334,12807.833333333334,7287.75,11020.416666666666,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
Site_003,2023-12-01,4390.0,6582.0,0.6669705256760863,-2192.0,-33.30294743239137,2023,12,4,-2.4492935982947064e-16,1.0,0,1,0,0,6605.0,10579.0,14871.0,0.0,8764.0,9428.666666666666,12005.5,11686.5,7838.166666666667,11017.416666666666,inf,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,none
